week,spend_eur,impressions,clicks,cpc_eur,ctr_pct,landing_views,leads,cpl_eur
10/11-16/11,853,368177,9396,0.09,2.55,2682,734,1.16
17/11-23/11,1282,410414,10916,0.12,2.66,3771,829,1.55
24/11-30/11,1187,357267,10615,0.11,2.97,3349,730,1.63
01/12-07/12,1233,311945,10371,0.12,3.32,3547,826,1.49
08/12-14/12,1203,293916,10620,0.11,3.61,3560,901,1.34
15/12-21/12,1203,348814,14194,0.08,4.07,4580,1230,0.98
22/12-28/12,1203,422439,15154,0.08,3.59,5352,1375,0.87
29/12-04/01,914,416375,20065,0.05,4.82,6670,1873,0.49
05/01-11/01,1182,523375,14526,0.08,2.78,5083,193,6.12
12/01-18/01,1182,429388,12178,0.10,2.84,4002,199,5.94
19/01-25/01,860,273013,7800,0.11,2.86,2465,130,6.62
26/01-01/02,1352,459361,12408,0.11,2.70,2544,114,11.86
