edition,creator,instagram,facebook,youtube,tiktok,link
Winter 2024,Debora Villa,,,,,
Winter 2024,Gianluca Impastato,,,,,
Winter 2024,Chiara Anicito "Cammela",601000,,,,https://www.instagram.com/azzurroclubvacanze/reel/C1y_PXUIN2l/
Winter 2024,Giulia Musso,218000,,,,https://www.instagram.com/azzurroclubvacanze/reel/C2HOhWZo20o/
Winter 2024,Filippo Caccamo,1600000,,,,https://www.instagram.com/azzurroclubvacanze/reel/C2e_0FIos75/
Winter 2024,Scintilla Fubelli,52600,,,,https://www.instagram.com/azzurroclubvacanze/reel/C2235iKriU4/
Winter 2024,Giovanni d'Angella,27400,,,,https://www.instagram.com/azzurroclubvacanze/reel/C3IjJCpsIdV/
Winter 2024,Daniele Fiamma,324000,,,,https://www.instagram.com/azzurroclubvacanze/reel/C3ncEy-sPYp/
Winter 2024,Chiara Becchimanzi,53200,,,,https://www.instagram.com/azzurroclubvacanze/reel/C37c1NRoIZX/
Winter 2024,Marco Passiglia,14800,,,,https://www.instagram.com/azzurroclubvacanze/reel/C4SemCAt58l/
Summer 2024,Max Cavallari,2300000,,,,https://www.instagram.com/azzurroclubvacanze/reel/C8J_N91IV59/
Summer 2024,Margherita Antonelli,42900,,,5728,https://www.instagram.com/azzurroclubvacanze/reel/C8chczJsMkn/
Summer 2024,Giulia Musso,50200,,,,https://www.instagram.com/azzurroclubvacanze/reel/C8j_1ykIv3Q/
Summer 2024,Chiara Anicito "Cammela",5600000,,,,https://www.instagram.com/azzurroclubvacanze/reel/C9FhJ9oobw7/
Summer 2024,Andrea Fratellini,8177,,,,https://www.instagram.com/azzurroclubvacanze/reel/C8xU8uUtcVX/
Summer 2024,Alberto Caiazza,,,,,
Summer 2024,Giovanni d'Angella,2400000,,,,https://www.instagram.com/azzurroclubvacanze/reel/C94kPr0s7w6/
Summer 2024,Daniele Fiamma,157000,,,,https://www.instagram.com/azzurroclubvacanze/reel/C9nAfHTsfBw/
Summer 2024,Chiara Becchimanzi,99100,,94000,,https://www.instagram.com/azzurroclubvacanze/reel/C-LHSIZoSP_/
Summer 2024,Riki Bokor,,,,,
Summer 2024,Marco Passiglia,1300000,,1400000,434,https://www.instagram.com/azzurroclubvacanze/reel/C-cmdNLtt35/
Summer 2024,Pino e gli Anticorpi,746000,,977000,973,https://www.instagram.com/azzurroclubvacanze/reel/C-vKtC1tNpw/
Summer 2024,Scintilla Fubelli,85400,,,575,https://www.instagram.com/azzurroclubvacanze/reel/C_I3us2NIRj/
Winter 2025,Max Cavallari,36900,2658,426,1027,https://www.instagram.com/azzurroclubvacanze/reel/DEM01XQItcL/
Winter 2025,Andrea Di Marco,12500,1219,62,1201,https://www.instagram.com/azzurroclubvacanze/reel/DEfVGq7sACD/
Winter 2025,Vincenzo Comunale,52100,1163,,,https://www.instagram.com/azzurroclubvacanze/reel/DEw2lc5sk5O/
Winter 2025,Eianto,8928,1095,154,2304,https://www.instagram.com/azzurroclubvacanze/reel/DFC6Lw3srmF/
Winter 2025,Scintilla Fubelli,86100,3951,263,1668,https://www.instagram.com/azzurroclubvacanze/reel/DFVXPz9oaGm/
Winter 2025,Claudio Lauretta,25100,1293,3100,4091,https://www.instagram.com/azzurroclubvacanze/reel/DFnZZJAMXSI/
Winter 2025,Chiara Becchimanzi,20000,1486,269,1206,https://www.instagram.com/azzurroclubvacanze/reel/DFzrvkrgGuE/
Winter 2025,Chiara Anicito "Cammela",1500000,,,,https://www.instagram.com/azzurroclubvacanze/reel/DF3CvJxIu-R/
Winter 2025,Marco Passiglia,20500,,3200,19100,https://www.instagram.com/azzurroclubvacanze/reel/DGLuty_AB57/
Winter 2025,I Carta Bianca,54700,,,,https://www.instagram.com/azzurroclubvacanze/reel/DGVYWqfsPus/
Winter 2025,Giovanni d'Angella,427000,,,,https://www.instagram.com/azzurroclubvacanze/reel/DGxD_ZIMhAv/
Winter 2025,Lunanzio,761000,,,,https://www.instagram.com/azzurroclubvacanze/reel/DHBABfMMQk5/
Winter 2025,Tiberio Cosmin,30500,,,917,https://www.instagram.com/azzurroclubvacanze/reel/DHWRMSmI-gM/
Winter 2025,Daniele Fiamma e Giorgio Zanetti,173000,,,,https://www.instagram.com/azzurroclubvacanze/reel/DHq4881s8Ep/
Summer 2025,Corinna Grandi,22600,1162,9600,900,https://www.instagram.com/azzurroclubvacanze/reel/DLhWDPXpC5d/
Summer 2025,I Carta Bianca,12900,1389,743,1002,https://www.instagram.com/azzurroclubvacanze/reel/DLropXJtY0p/
Summer 2025,Giovanni d'Angella,8000000,,,,https://www.instagram.com/azzurroclubvacanze/reel/DL9HqK9iDV3/
Summer 2025,Alessandro Bianchi,223000,,2700,639,https://www.instagram.com/azzurroclubvacanze/reel/DMPIQt2IUTg/
Summer 2025,Andrea Di Marco,141000,,,,https://www.instagram.com/azzurroclubvacanze/reel/DMhK0_kiAy_/
Summer 2025,Giancarlo Kalabrugovic,35600,1895,267000,850,https://www.instagram.com/azzurroclubvacanze/reel/DMz1s_dPK4n/
Summer 2025,Chiara Anicito "Cammela",2100000,,,,https://www.instagram.com/azzurroclubvacanze/reel/DNBPQzLs1KC/
Summer 2025,Giovanni d'Angella,2400000,,,,https://www.instagram.com/azzurroclubvacanze/reel/DNV2PfOscgS/
Summer 2025,Lunanzio,786000,,,,https://www.instagram.com/azzurroclubvacanze/reel/DNxxyhs2BNs/
Summer 2025,Angelo Pisani,201000,2496,1300,8633,https://www.instagram.com/azzurroclubvacanze/reel/DN7Sq_RCmts/
